post_id,pid,url,is_sold,is_mint,upload_date,title,product_image,city,is_sold,platform,item_id,location_id,platform_id,marker_price_id
136,918010042,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918010042&referrerAllArticles=false,0,0,2022-05-19 20:25:46,아이폰13 미니 미드나이트 256GB 자급제 에플케어플러스 가입모델 판매,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MDhfMjAy/MDAxNjUxOTY5OTkxNjA4.R3K1KMk-zwtT0oT3XG2n7yojPKhLF164QSfrn_eavXog.dBVj3WqIzRGT_2sjnF_ZY2PBHsrpxPW5lmHLATqvDrIg.JPEG/20220424%2525EF%2525BC%2525BF211657.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
137,918009212,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918009212&referrerAllArticles=false,0,1,2022-05-19 20:20:20,아이폰13프로 128기가 시에라블루 미개봉,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTc0/MDAxNjUyOTU5MTc0NjUz.-rLZOoBpLuV9rXU5XmzEYc50Wh25fkLdjAvGhFQxLzog.ydLFAbBshK3K3gXyvwvdyzqNttXXscCHSv9198MTS_wg.JPEG/8D146F81-8944-4352-AD91-FF645FD617A9.jpeg?type=f740_740,,,Jongo Nara,11,15,14,29
138,918008593,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918008593&referrerAllArticles=false,0,1,2022-05-19 20:16:26,아이폰13미니 128 256 512기가 미개봉자급제미개통새상품입니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjY1/MDAxNjUyOTU5MDA1Mjg2.y2GGNkqHXkLbj_zXAKmMprgaoPWU1PGgPHggXtuFyCMg.DpaXXyPJn9_kqgSvR3ENJ8io-7atfrxyvCzHxoh9m8cg.JPEG/se%2525EF%2525BC%2525BFone%2525EF%2525BC%2525BF20211214%2525EF%2525BC%2525BF112533%2525EF%2525BC%2525BFa.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
139,918008272,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918008272&referrerAllArticles=false,0,0,2022-05-19 20:14:29,아이폰13프로 128기가 그라파이트 팝니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTcg/MDAxNjUyOTU4NTMyMjAw.rcjQyG-j5ICHJ0RKs4xvHc3EHcqSWZliBuo4G2UyytEg.mTSw7yiqWJ7_XhZI_b5wTUllcAQkzLaTp3gwM7ZBmj0g.PNG/KakaoTalk_20220519_200809363.png?type=f740_740,,,Jongo Nara,11,15,14,29
140,918008077,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918008077&referrerAllArticles=false,0,1,2022-05-19 20:13:15,아이폰13프로 256기가 자급제미개봉,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTMg/MDAxNjUyOTU4ODEwOTcz.RzwT6K9eDz0ADy0qNe5ehpzokQeFByrGbU3TYi2T_k4g.WG78uhXgcU_CDwNvkGxcQXzpFniG6dZI7ftM0QgtIHMg.JPEG/IMG_2029.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
141,918007457,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918007457&referrerAllArticles=false,0,1,2022-05-19 20:09:27,아이폰13 128 256 512기가 미개봉자급제미개통새상품입니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MThfOTkg/MDAxNjUyODcwNTMyMjMw.kvEFUebRD34XPuuRMJVt8eKrdF8kNucJlK0JWkkcOVIg.-IqdeUchMM7phx35U4adAdNRgHuWcpdoccADxpFyw5Ag.JPEG/20211214%2525EF%2525BC%2525BF103840.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
142,918005869,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918005869&referrerAllArticles=false,0,0,2022-05-19 20:00:00,개인판매자) 아이폰13프로 색상 실버 128g 자급제 판매합니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MThfMzYg/MDAxNjUyODUzOTE2MTQ2.r7-dLznouW7uO5UAgKCe0pRd68vG9D6OoaVetnJIUeUg.cjXOpaLuqH4SzFuwNxfc3M8ce9zR9_AKol8BfAgILcYg.JPEG/20220518%2525EF%2525BC%2525BF150006.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
143,918005636,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918005636&referrerAllArticles=false,0,1,2022-05-19 19:58:26,아이폰13 프로 프로맥스 미니 13노멀 시리즈ALL 미개봉자급제미개통새상품입니다,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MThfMjc4/MDAxNjUyODY4MTAzMjc4.i2bPvB77kua-KdMG3xKFh-0ZS8VQbi4FeIo-4uVob4og.dbNZCsAzVJwyiIKg1W83LkhREa5GxD05N9y1YJWJRX4g.JPEG/20211011%2525EF%2525BC%2525BF162949.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
144,918005489,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918005489&referrerAllArticles=false,0,0,2022-05-19 19:57:27,아이폰 13 pro max 그래파이트 급처,https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMTEg/MDAxNjUyOTU3NzM0OTU0.4Yk9o-jfBMY8QSKVMgcDVJjxnxYNHlW_uqQVcbgZKlcg.ERSUmtxQJ1yTG7M-f9PRBnOC7JXZTOrFPKJe5LXjt3Ug.JPEG/IMG_20220519_003450.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
145,918004771,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=918004771&referrerAllArticles=false,0,0,2022-05-19 19:52:49,"[ 전주 , 군산 ] 아이폰 13 pro 알파인 그린 256g 팝니다.",https://cafeptthumb-phinf.pstatic.net/MjAyMjA1MTlfMjcy/MDAxNjUyOTU3NTA0NjMz.-SodnqyRKiEaP8QGmg1NRiZvMDO8_WNttHuJ1_Y2uOwg.tpkx8M9r6MpUsQv0ulZfzhhX1XXncRXgZlMZnKIuJYQg.JPEG/DSC04717.jpg?type=f740_740,,,Jongo Nara,11,15,14,29
