,articleUrl,articleSeq,articleRegDate,price,title,sortDate,productHiddenStatus,state
21,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=911019147&referrerAllArticles=false,911019147.0,2022-04-15 23:37:31,780000,S급 아이폰13 128GB 화이트 성능 최대치 100%,2022-04-15 23:37:31,0,0
22,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018813&referrerAllArticles=false,911018813.0,2022-04-15 23:34:51,1150000,아이폰13프로 골드색상 256용량 배터리100% 새상품컨디션 초S급 115만 팝니다,2022-04-15 23:34:51,0,0
23,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018797&referrerAllArticles=false,911018797.0,2022-04-15 23:34:43,3000,아이폰13 12 프로 맥스 미니 삽니다! 자급제 통신사 유심기변,2022-04-15 23:34:43,0,0
24,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=424&boardtype=C&page=1&articleid=911018781&referrerAllArticles=false,911018781.0,2022-04-15 23:34:37,1000000,아이폰13 12 프로맥스 promax 프로 미니 매입 삽니다,2022-04-15 23:34:37,0,0
25,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018721&referrerAllArticles=false,911018721.0,2022-04-15 23:34:04,1130000,아이폰13 프로 /128G/ 데모폰 판매합니다.,2022-04-15 23:34:04,0,0
26,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018725&referrerAllArticles=false,911018725.0,2022-04-15 23:34:04,1350000,아이폰13 프로맥스 골드 256기가 특S급 판매합니다.,2022-04-15 23:34:04,0,0
27,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018435&referrerAllArticles=false,911018435.0,2022-04-15 23:31:52,930000,아이폰13 핑크 128기가 미개봉 자급제 팝니다,2022-04-15 23:31:52,0,0
28,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018338&referrerAllArticles=false,911018338.0,2022-04-15 23:31:00,3333333,"[매입]아이폰 13 프로 맥스(자급제폰,박스폰,당일개통폰,중고폰)",2022-04-15 23:31:00,0,0
29,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018130&referrerAllArticles=false,911018130.0,2022-04-15 23:29:12,100000000,[24시]아이폰13 미니 13프로 맥스 (애플/삼성전기종 최고가매입),2022-04-15 23:29:12,0,0
30,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=339&boardtype=C&page=1&articleid=911018088&referrerAllArticles=false,911018088.0,2022-04-15 23:28:48,1190000,아이폰13 프로 128기가 미개봉자급제미개통새상품입니다,2022-04-15 23:28:48,0,0
